Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
PRKRIP1	724.71540568869	3.085657309028571e-5	0.0014419326048191032	0.15311529756617645	0.9369321113908191	FALSE
CXorf38	875.8004696771319	3.0836177918916126e-5	0.0014422667980024282	0.38607294586354757	0.963690722950888	FALSE
TSPAN5	559.926486988759	3.0808846998078385e-5	0.0014428043771558359	0.12459905073823126	0.9333972064576997	FALSE
ZFAND2A	135.88970092678596	3.0790754084621665e-5	0.001442567139050052	0.05646807571264366	0.8761103560862037	FALSE
FBXO34	247.43283152690816	3.07805625072446e-5	0.0014422338707372837	0.1473722945989461	0.9369321113908191	FALSE
PXK	576.4994239572975	3.0753318039606e-5	0.0014425338878120684	0.4411613545988062	0.9659930165021062	FALSE
SLC33A1	207.82058009326093	3.073836880614742e-5	0.0014425258925134501	0.054993798919771	0.8761103560862037	FALSE
ZNF438	376.7557687853792	3.072282727464144e-5	0.0014426671728640342	0.008750894054564593	0.6982272643733797	FALSE
CRELD2	442.507644171217	3.0707586832654745e-5	0.0014425434986165275	0.08833657565692449	0.9165536807817047	FALSE
CNPY3	4168.720938297755	3.0686031439450155e-5	0.0014423381126044722	0.21268720401853014	0.9431011686382762	FALSE
VCL	2802.825194414413	3.0659906334067996e-5	0.0014425754903747996	0.45541515635088775	0.9681731256637537	FALSE
BPNT2	313.71609049243983	3.063470205765357e-5	0.0014423322125830813	0.11328297205105309	0.9207176283249466	FALSE
ZBTB16	57.49538875651768	3.062007578632904e-5	0.0014427673362480875	0.2553888895140705	0.9451824962710511	FALSE
PTPN22	326.84077826167686	3.061493665340187e-5	0.0014425108738793542	0.45232181774551505	0.9670368099820597	FALSE
RNFT1	182.82172412341873	3.058938277391179e-5	0.0014425280876424434	0.17199512864043556	0.9369321113908191	FALSE
TRIM24	345.1600313501652	3.056911117236841e-5	0.0014424268243359902	0.6484563232372138	0.9827494532330928	FALSE
ECHDC1	393.5516939041091	3.0553704751165206e-05	0.0014423298918854644	0.19902887082638548	0.9431011686382762	FALSE
SHARPIN	1942.6226558723529	3.054070701639474e-5	0.0014427296893885463	0.3390112009792288	0.9573326096362192	FALSE
ARPC5	4699.6044791757795	3.041293689693738e-5	0.0014425643405922431	0.6406459641585918	0.9825066536705676	FALSE
ALOX12	318.4811498603033	3.0394833850487957e-5	0.0014427821023257315	0.8970551795961512	0.9962420887147879	FALSE
RUFY3	300.2821401730694	3.0360637633089724e-5	0.0014424173155442193	0.1275312106395593	0.9333972064576997	FALSE
RNF175	114.23076334989969	3.035021360738386e-5	0.0014426923239158564	0.6079697144215515	0.9808163488304377	FALSE
URM1	641.5935949483666	3.031809307487502e-5	0.0014423012684342009	0.16008405126100728	0.9369321113908191	FALSE
CASP4LP	105.49593991727266	3.031042440361017e-5	0.001442648935271719	0.2664384602095488	0.9451824962710511	FALSE
RAB44	409.49835597394247	3.029269489987503e-5	0.0014427201486538206	0.24444051441128054	0.9431011686382762	FALSE
WDR5B-DT	123.58298933193376	3.029194300198497e-5	0.001442717978715754	0.7214399361465249	0.9856936750860452	FALSE
NSD3	1624.5581305706803	3.0281873553555315e-5	0.0014423370386734626	0.7948990214987918	0.9904137118099342	FALSE
