"","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","threshold"
"20460","RAB3IL1",61.1044862351852,-1.91111917014653e-05,0.00144272617083634,0.0835302798461982,0.907200763332906,FALSE
"20461","ELP5",265.486409173422,-1.91811782974504e-05,0.00144213508230195,0.353828571893706,0.960086717225835,FALSE
"20462","TMEM265",182.899881491025,-1.91834215976121e-05,0.00144251768939416,0.221662672139256,0.943101168638276,FALSE
"20463","VKORC1L1",222.77879744361,-1.91854800892187e-05,0.00144230375816028,0.293457225687958,0.947589875100565,FALSE
"20464","CCDC125",418.291044913751,-1.92003255957002e-05,0.00144246500700833,0.395417890898016,0.963998356963541,FALSE
"20468","RSU1",1004.68613400707,-1.92298495113356e-05,0.00144256072433831,0.113620282436382,0.920717628324947,FALSE
"20469","RPLP1",22605.3403274731,-1.92512240002805e-05,0.00144238994754674,0.238225598381931,0.943101168638276,FALSE
"20470","ITGAE",131.506659755939,-1.92524500624613e-05,0.00144231633941902,0.30402171831818,0.950369977061049,FALSE
"20472","NEIL1",364.879253555033,-1.927791519012e-05,0.00144244129924529,0.429586709861328,0.964195232084332,FALSE
"20473","RCSD1",3361.17720009423,-1.9278370496646e-05,0.00144183374690854,0.45545597850185,0.968173125663754,FALSE
"20474","TMEM81",59.6951865779805,-1.92916963360771e-05,0.00144257087215744,0.0575656645496674,0.879704794862685,FALSE
"20475","AKT1S1",717.392164881855,-1.93056392650425e-05,0.0014424151081693,0.132050705310586,0.935332068451479,FALSE
"20476","SNTA1",71.7825392547749,-1.93315591205868e-05,0.00144257782643186,0.11439659011141,0.920717628324947,FALSE
"20477","LPIN2",2390.79529800566,-1.93327687805336e-05,0.00144254279941034,0.397001827677071,0.964000141034271,FALSE
"20479","CSE1L",377.040936239024,-1.93484501972135e-05,0.00144211015004998,0.22827761131821,0.943101168638276,FALSE
"20480","ATP6V1A",1034.19717949588,-1.93529958853864e-05,0.00144254495146099,0.27011860030366,0.945182496271051,FALSE
"20481","ASCC2",4685.96533622233,-1.93579668634219e-05,0.00144268831693488,0.00723293790925349,0.684790815409364,FALSE
"20482","LIPT1",77.0201972713109,-1.93894571600217e-05,0.00144242840339747,0.218162695511911,0.943101168638276,FALSE
"20483","FAM104B",81.9095888276694,-1.93975415391286e-05,0.00144254751899065,0.116417963870339,0.920717628324947,FALSE
"20485","PTAFR",7238.60640704547,-1.94166762369704e-05,0.00144249823566822,0.157901376278289,0.936932111390819,FALSE
"20486","FBXO31",390.496755365434,-1.94174373579127e-05,0.00144226184176902,0.326580731452408,0.951023407716678,FALSE
"20487","GBGT1",432.452486510143,-1.94353992806479e-05,0.00144259151126312,0.106941312178642,0.919983769688899,FALSE
"20490","ARHGAP9",15293.5872033981,-1.94684399084971e-05,0.00144252815145315,0.132560360016729,0.935332068451479,FALSE
"20492","ZNF32",174.180930883494,-1.95118472848624e-05,0.00144235805853554,0.294918922116226,0.947751618998765,FALSE
"20493","DNAH1",1163.86528287254,-1.9513343764725e-05,0.00144236638986645,0.24746197636731,0.943101168638276,FALSE
"20494","PRXL2C",92.6228640414332,-1.95271361770123e-05,0.00144250448205016,0.152059399355712,0.936932111390819,FALSE
"20495","ATP6",77443.5139369681,-1.95377586403336e-05,0.00144252047193735,0.138244022309821,0.936932111390819,FALSE
"20496","INAFM2",543.217846330357,-1.95392506469546e-05,0.0014424002444819,0.216366774186432,0.943101168638276,FALSE
"20498","SLC2A1",679.265470354365,-1.95671092116804e-05,0.00144249658748432,0.327521725843862,0.951023407716678,FALSE
"20499","ERN1",1369.17301754186,-1.95778950337048e-05,0.00144256254690494,0.102249923517983,0.919983769688899,FALSE
"20503","GABARAP",8145.7702265206,-1.96398480989719e-05,0.00144242311181899,0.209200079148717,0.943101168638276,FALSE
"20504","MAF1",2480.3310970792,-1.96477445086403e-05,0.00144254207619245,0.0889452698045368,0.916752719549587,FALSE
"20506","NEDD4L",146.502862409671,-1.96646319924878e-05,0.00144267795925982,0.123006268726672,0.930820664134369,FALSE
"20507","LMF2",2612.85636795889,-1.9675736073657e-05,0.00144199646813598,0.402358041492912,0.964000141034271,FALSE
"20509","LY86",367.60739614917,-1.9704134111794e-05,0.00144258487475215,0.118557862792951,0.92398165800438,FALSE
"20510","ISYNA1",412.371296826872,-1.97228417789155e-05,0.00144245266670676,0.139568750634552,0.936932111390819,FALSE
"20514","NPIPA5",165.186103160105,-1.97807089953588e-05,0.00144275317275051,0.310065641024,0.950369977061049,FALSE
"20515","USP6NL",142.760430128643,-1.9781450651311e-05,0.00144248799273678,0.0967703029365586,0.919375631838652,FALSE
"20516","SWSAP1",69.2810355757352,-1.97880661864426e-05,0.001442512862067,0.153448674862998,0.936932111390819,FALSE
"20517","POLR2I",175.705399140664,-1.98025197181613e-05,0.00144248599859093,0.161216454005514,0.936932111390819,FALSE
"20518","LCP1",30816.9463770398,-1.98147828756147e-05,0.00144223584501903,0.307635413086622,0.950369977061049,FALSE
"20519","TCAIM",133.38414261372,-1.98186757459401e-05,0.00144226250271903,0.467185293479754,0.968173125663754,FALSE
"20520","CYTB",86014.884698976,-1.98211937392635e-05,0.00144248671963945,0.159748360000938,0.936932111390819,FALSE
"20521","SUSD4",58.178904729629,-1.98242273802165e-05,0.00144269961493998,0.00497381803146706,0.643488275934588,FALSE
"20523","ADCY9",247.413232193125,-1.98567307923825e-05,0.00144253023758191,0.145784948392132,0.936932111390819,FALSE
"20524","MED19",134.643983797894,-1.98656401167415e-05,0.00144242613137919,0.20571743368785,0.943101168638276,FALSE
"20526","HAGH",1842.20485298925,-1.98760838907435e-05,0.00144269156276293,0.00591495200659196,0.656635461555047,FALSE
"20527","ZNF232-AS1",26.9079753454254,-1.98811964835986e-05,0.00144267669522584,0.0882705649900339,0.916553680781705,FALSE
"20528","ERF",1496.28688220198,-1.98837182564959e-05,0.00144243623741555,0.429045335654862,0.964195232084332,FALSE
"20529","CNIH1",276.998339399993,-1.98939211463347e-05,0.0014423457749457,0.239211894638145,0.943101168638276,FALSE
"20532","HINT1",1156.7441643363,-1.99320313828051e-05,0.00144224053674519,0.261105589420382,0.945182496271051,FALSE
"20533","CLN6",515.886966792633,-1.99485276293009e-05,0.00144256871779816,0.0898041754687341,0.917245422391415,FALSE
"20535","DAZAP2",10917.5354525666,-1.99745292614969e-05,0.00144201922959313,0.388717162678421,0.963690722950888,FALSE
"20536","SEC31B",955.612220701742,-1.99831584837417e-05,0.0014422473445708,0.133266318925084,0.935332068451479,FALSE
"20537","IPO5",601.197159872442,-1.99852570126567e-05,0.0014420438414578,0.380719585717373,0.963591739344519,FALSE
"20538","SPNS1",893.84918280316,-1.99940910454954e-05,0.00144218070698273,0.32983160124038,0.952001116860153,FALSE
"20539","CFDP1",240.073190500441,-2.00057885111668e-05,0.0014421604414606,0.338130525190084,0.957332609636219,FALSE
"20540","CDK19",593.353237505868,-2.00411396242916e-05,0.00144250667973645,0.108522892754474,0.919983769688899,FALSE
