"","Gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","threshold"
"2031","TNIK",435.517903902497,3.47003462436901e-05,0.00144251616447933,0.244285812479677,0.943101168638276,FALSE
"2032","MDC1",793.730539617241,3.46454582059325e-05,0.00144261078513688,0.0525877871913537,0.876110356086204,FALSE
"2036","ACAT2",146.818221133011,3.44088214316543e-05,0.00144244358020856,0.0667929173242864,0.897433386962604,FALSE
"2039","PIBF1",71.4166433783231,3.42554797242184e-05,0.00144261855003705,0.00691407346017621,0.682005436125114,FALSE
"2040","MINDY2",161.996873078825,3.4250847598387e-05,0.00144259060645981,0.11205022967986,0.920051635664095,FALSE
"2044","YTHDC2",338.546202306834,3.41350038065586e-05,0.00144253281625599,0.0427332378446808,0.859841690993743,FALSE
"2045","ZBTB10",57.5330843889759,3.41347538578781e-05,0.00144269937854275,0.0187452560850735,0.764454974719402,FALSE
"2046","PDK1",340.055521340367,3.40973662607234e-05,0.00144259506204941,0.00933559154691662,0.69822726437338,FALSE
"2049","PIGO",334.261611498149,3.4078141786368e-05,0.00144218487142979,0.241776954461707,0.943101168638276,FALSE
"2050","PXMP4",162.340763731003,3.40764264704471e-05,0.00144242733094181,0.0910793738179253,0.917245422391415,FALSE
"2051","AFG3L2",327.386206791257,3.40573484971091e-05,0.00144220199095442,0.128484444911926,0.9333972064577,FALSE
"2052","TULP4",231.610665946926,3.40404495653925e-05,0.00144262653246313,0.0174142712452519,0.745102425411598,FALSE
"2053","TAF12",381.245087875921,3.40126587606053e-05,0.00144223524305842,0.137346353954184,0.936932111390819,FALSE
"2054","PSMC2",379.920697143802,3.40113051146975e-05,0.00144223863805952,0.151048292842421,0.936932111390819,FALSE
"2056","GID4",282.177024539404,3.39457361851878e-05,0.00144269001222134,0.221117450959496,0.943101168638276,FALSE
"2057","PPARA",202.831236147745,3.39427214928528e-05,0.00144231172083547,0.0756074426410304,0.898028695921806,FALSE
"2058","KLHDC1",19.3897888819689,3.39345550899767e-05,0.0014428029689938,0.134840916287678,0.935332068451479,FALSE
"2060","CARNMT1",76.994246885772,3.38867147720608e-05,0.00144265955187675,0.130622547706629,0.935332068451479,FALSE
"2062","CCDC124",630.788404388159,3.38091696471479e-05,0.00144262067282855,0.164910894186732,0.936932111390819,FALSE
"2063","LOC100421372",132.513038175499,3.37534474270389e-05,0.00144235022133182,0.0732668627616072,0.897433386962604,FALSE
"2064","RBM26",737.964533824272,3.37522645839705e-05,0.0014421459875705,0.19076201832334,0.943101168638276,FALSE
"2068","ZMYND8",827.099783464168,3.36647087076575e-05,0.00144180071193454,0.0420384222020825,0.858850666747052,FALSE
"2069","HERPUD2-AS1",62.39970292131,3.36426068628473e-05,0.00144267330862153,0.0165305877865785,0.737664447642514,FALSE
"2072","ZNRF2",258.130267967888,3.36067596034112e-05,0.0014425867698405,0.0912565623200193,0.917245422391415,FALSE
"2074","GNA11",120.518265658792,3.35977836858961e-05,0.00144261987538076,0.0163847557600321,0.737664447642514,FALSE
"2076","ASF1B",416.115018607818,3.35418343276548e-05,0.00144276064797156,0.0282320373627751,0.848550546499229,FALSE
"2078","C3orf38",169.169465816346,3.34923665412171e-05,0.00144265518765801,0.104033965945152,0.919983769688899,FALSE
"2082","NCOA3",1382.80153305829,3.32637658705399e-05,0.0014425802257833,0.0752280381174474,0.897433386962604,FALSE
"2083","CALHM6",326.133706739338,3.32319620576456e-05,0.00144282069828116,0.143745305908991,0.936932111390819,FALSE
"2084","MBIP",68.6705080192354,3.32107845837743e-05,0.00144259222759472,0.0211808821468896,0.794609274791935,FALSE
"2085","DDX59",271.315029430767,3.31774288105627e-05,0.00144227611525143,0.182815542358248,0.943101168638276,FALSE
"2087","FES",2539.12126146715,3.31441958497275e-05,0.00144254854021564,0.200270904372905,0.943101168638276,FALSE
"2089","USP40",227.957757811533,3.30987020676442e-05,0.00144244932411925,0.0509378629848359,0.876110356086204,FALSE
"2092","RSKR",140.59121704036,3.30349460518163e-05,0.00144259301019546,0.105798672320834,0.919983769688899,FALSE
"2094","LINC00672",78.2551542777469,3.29979854641657e-05,0.00144265120542387,0.016113757308844,0.735931834007508,FALSE
"2095","RHOC",699.836097366816,3.29870972853819e-05,0.00144267527006628,0.103690969866647,0.919983769688899,FALSE
"2099","MPLKIP",204.174933949299,3.28872153268259e-05,0.00144215609631008,0.162046603533855,0.936932111390819,FALSE
"2102","GALK2",107.841223992265,3.2831556839249e-05,0.00144245711706304,0.0938416327811566,0.917245422391415,FALSE
"2103","DESI1",738.815807487919,3.27913030660775e-05,0.00144215153597643,0.186558472803417,0.943101168638276,FALSE
"2104","PUS7L",152.356379801242,3.27910678695067e-05,0.00144265355189656,0.0727600561367934,0.897433386962604,FALSE
"2106","NAIF1",235.675389884467,3.27774426606531e-05,0.00144225782909681,0.124602819486522,0.9333972064577,FALSE
"2108","ZBTB21",118.533579031345,3.27294003029558e-05,0.0014426059148881,0.0496514784727444,0.873226130719534,FALSE
"2111","BICD1",66.2181345526877,3.26671189159273e-05,0.00144268467175884,0.050631176473582,0.876110356086204,FALSE
"2112","FAM3C",131.427857916808,3.26397712410177e-05,0.00144266974534078,0.00996510728159291,0.720296793059689,FALSE
"2114","CRADD",78.1929968237955,3.262846177186e-05,0.00144259390176895,0.0227325132874015,0.813170066790686,FALSE
"2115","SLC2A11",165.426689547951,3.26264775563548e-05,0.00144251550029202,0.0424264588899135,0.858850666747052,FALSE
"2116","NT5DC2",108.130629415114,3.25343154554824e-05,0.00144282665670206,0.198214929055487,0.943101168638276,FALSE
"2119","GTF3C3",204.424372700445,3.24713978323618e-05,0.00144242105258915,0.116703183647297,0.920717628324947,FALSE
"2120","NR3C2",87.3269858585607,3.24127638175143e-05,0.00144274417333521,0.21889463748154,0.943101168638276,FALSE
"2122","DNAJB11",424.548771294417,3.23524342665765e-05,0.00144259479684678,0.0251301513795375,0.824600241583632,FALSE
"2124","SLX9",144.45455148271,3.23384371040667e-05,0.00144251648208338,0.110229772519902,0.919983769688899,FALSE
"2125","PDIA6",888.16092469099,3.23344996448788e-05,0.00144264327971703,0.153646895946152,0.936932111390819,FALSE
"2127","GORAB",56.144130368079,3.22485286687279e-05,0.00144265702288804,0.0177986010920977,0.747541245868103,FALSE
"2128","CUL5",181.127315818686,3.22354004683397e-05,0.00144242152079356,0.0710944904678791,0.897433386962604,FALSE
